id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,pca1,pca2,metric_value,quartile
21,1989,21,21,UTA,Blue Edwards,East Carolina University,10.0,704.0,18409.0,7585.0,2376.0,1409.0,0.475,0.335,0.779,26.1,10.8,3.4,2.0,24.2,0.063,-1.6,1.9,2.2752962526977214,0.14015115520844712,1.9,2
22,1989,22,22,POR,Byron Irvin,Missouri,3.0,87.0,849.0,451.0,123.0,73.0,0.471,0.35,0.722,9.8,5.2,1.4,0.8,2.1,0.121,0.6,0.6,-0.7803241092468303,1.5076941870474745,0.6,2
27,1989,27,27,DET,Kenny Battle,Illinois,4.0,134.0,1795.0,627.0,327.0,106.0,0.504,0.133,0.725,13.4,4.7,2.4,0.8,3.7,0.098,-0.4,0.7,-0.89577264154112,0.9071617754536767,0.7,2
37,1989,37,37,ORL,Michael Ansley,Alabama,3.0,149.0,2143.0,1026.0,621.0,67.0,0.513,0.0,0.722,14.4,6.9,4.2,0.4,6.4,0.142,-1.0,0.6,-0.9755357953930321,0.4811153338500585,0.6,2
40,1989,40,40,BOS,Dino Radja,International,4.0,224.0,7308.0,3733.0,1883.0,356.0,0.497,0.0,0.735,32.6,16.7,8.4,1.6,14.3,0.094,-0.4,3.0,-0.09840163713978468,-0.009289546887302411,3.0,2
49,1989,49,49,ATL,Haywoode Workman,Oral Roberts,8.0,359.0,7202.0,1967.0,819.0,1410.0,0.419,0.323,0.764,20.1,5.5,2.3,3.9,10.7,0.071,-0.7,2.4,0.4268099481474552,0.7312652969356683,2.4,2
64,1990,10,10,ATL,Rumeal Robinson,Michigan,6.0,336.0,6098.0,2546.0,606.0,1179.0,0.432,0.344,0.611,18.1,7.6,1.8,3.5,5.2,0.041,-1.5,0.8,0.1930837768646559,0.5926177203550094,0.8,2
65,1990,11,11,GSW,Tyrone Hill,Xavier,14.0,801.0,22388.0,7532.0,6854.0,647.0,0.502,0.0,0.643,28.0,9.4,8.6,0.8,56.2,0.12,-1.9,0.8,2.601601937702409,-1.5519252671157828,0.8,2
67,1990,13,13,LAC,Loy Vaught,Michigan,11.0,689.0,16993.0,6984.0,4881.0,652.0,0.504,0.244,0.718,24.7,10.1,7.1,0.9,35.8,0.101,-1.5,2.2,2.246829780067885,-0.2645310404877264,2.2,2
74,1990,20,20,MIN,Gerald Glass,Ole Miss,4.0,201.0,3347.0,1553.0,512.0,298.0,0.433,0.236,0.643,16.7,7.7,2.5,1.5,1.8,0.025,-1.9,0.1,-0.5979579045695591,0.6640746768924622,0.1,2
77,1990,23,23,SAC,Anthony Bonner,Saint Louis,6.0,318.0,7372.0,2199.0,1726.0,442.0,0.468,0.125,0.59,23.2,6.9,5.4,1.4,10.8,0.07,-2.0,0.1,-0.10771742435415443,0.010376554567337815,0.1,2
94,1990,40,40,SAC,Bimbo Coles,Virginia Tech,14.0,852.0,20319.0,6628.0,1820.0,3313.0,0.425,0.267,0.811,23.8,7.8,2.1,3.9,27.4,0.065,-1.6,1.9,2.7643869763713864,-0.45339581647389,1.9,2
98,1990,44,44,MIL,Steve Henson,Kansas State,7.0,238.0,2282.0,739.0,176.0,465.0,0.403,0.432,0.869,9.6,3.1,0.7,2.0,3.8,0.079,-1.8,0.1,-0.2056921024546014,1.6570831314090928,0.1,2
