id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,pca1,pca2,metric_value,quartile
8,1989,8,8,DAL,Randy White,Louisiana Tech,5.0,281.0,5382.0,2083.0,1366.0,175.0,0.401,0.193,0.707,19.2,7.4,4.9,0.6,1.9,0.017,-5.0,-4.0,-0.7430554213751517,-0.08446393545388647,-5.0,0
19,1989,19,19,PHI,Kenny Payne,Louisville,4.0,144.0,1167.0,508.0,170.0,61.0,0.41,0.293,0.859,8.1,3.5,1.2,0.4,-0.1,-0.005,-4.9,-0.9,-1.2353473503637107,1.2040107373097853,-4.9,0
20,1989,20,20,CHI,Jeff Sanders,Georgia Southern University,4.0,55.0,462.0,112.0,103.0,25.0,0.395,0.0,0.609,8.4,2.0,1.9,0.5,-0.1,-0.008,-6.3,-0.5,-2.102634970280013,-1.0851251917997538,-6.3,0
23,1989,23,23,ATL,Roy Marble,Iowa,2.0,29.0,194.0,55.0,32.0,12.0,0.257,0.0,0.594,6.7,1.9,1.1,0.4,-0.5,-0.122,-8.8,-0.3,-2.4164237512239644,-0.6858552157365905,-8.8,0
29,1989,29,29,CHH,Dyron Nix,Tennessee,1.0,20.0,109.0,39.0,26.0,5.0,0.359,0.0,0.688,5.5,2.0,1.3,0.3,0.0,-0.015,-5.8,-0.1,-2.161363785626169,-0.6345023371620514,-5.8,0
30,1989,30,30,MIL,Frank Kornet,Vanderbilt,2.0,89.0,595.0,171.0,95.0,30.0,0.369,0.263,0.596,6.7,1.9,1.1,0.3,0.0,-0.004,-6.2,-0.6,-1.7999797837123084,0.17910553614284686,-6.2,0
33,1989,33,33,LAC,Jay Edwards,Indiana,1.0,4.0,26.0,7.0,2.0,4.0,0.429,0.0,0.333,6.5,1.8,0.5,1.0,0.0,0.022,-4.0,0.0,-2.494661988756558,-2.2604119163586036,-4.0,0
34,1989,34,34,MIN,Gary Leonard,Missouri,3.0,31.0,149.0,44.0,34.0,2.0,0.459,0.0,0.5,4.8,1.4,1.1,0.1,0.1,0.029,-6.9,-0.2,-2.199374992870163,-1.7050778366992478,-6.9,0
39,1989,39,39,WSB,Ed Horton,Iowa,1.0,45.0,374.0,202.0,108.0,19.0,0.494,0.0,0.609,8.3,4.5,2.4,0.4,0.4,0.05,-4.9,-0.3,-1.9513209067931354,-1.4000777206202324,-4.9,0
41,1989,41,41,WSB,Doug Roth,Tennessee,1.0,42.0,412.0,81.0,120.0,20.0,0.43,0.0,0.5,9.8,1.9,2.9,0.5,0.4,0.052,-5.3,-0.3,-2.193577421890429,-1.6285147322156126,-5.3,0
