id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,pca1,pca2,metric_value,quartile
5,1989,5,5,CHH,J.R. Reid,UNC,11.0,672.0,15370.0,5680.0,3381.0,639.0,0.472,0.135,0.716,22.9,8.5,5.0,1.0,22.5,0.07,-2.9,-3.7,1.1832492308045037,-1.017911186316288,-2.9,1
6,1989,6,6,CHI,Stacey King,Oklahoma,8.0,438.0,7406.0,2819.0,1460.0,387.0,0.478,0.235,0.707,16.9,6.4,3.3,0.9,10.9,0.071,-3.4,-2.7,-0.11148488244041418,-0.19941257689458455,-3.4,1
9,1989,9,9,WSB,Tom Hammonds,Georgia Tech,12.0,687.0,10419.0,3617.0,2243.0,378.0,0.48,0.0,0.691,15.2,5.3,3.3,0.6,14.7,0.068,-3.8,-4.7,0.30821387895418434,-1.578350278956213,-3.8,1
13,1989,13,13,BOS,Michael Smith,BYU,3.0,141.0,1328.0,698.0,212.0,142.0,0.474,0.15,0.835,9.4,5.0,1.5,1.0,1.4,0.049,-3.6,-0.5,-1.269776126640779,0.22391660220206314,-3.6,1
15,1989,15,15,DEN,Todd Lichti,Stanford,5.0,237.0,4240.0,1870.0,505.0,325.0,0.46,0.244,0.789,17.9,7.9,2.1,1.4,5.6,0.063,-2.5,-0.5,-0.7514885871520948,0.43740614255134513,-2.5,1
24,1989,24,24,PHO,Anthony Cook,Arizona,4.0,116.0,1499.0,418.0,428.0,34.0,0.439,0.0,0.524,12.9,3.6,3.7,0.3,1.0,0.033,-3.7,-0.7,-1.9032217194567018,-1.6333197399398656,-3.7,1
25,1989,25,25,CLE,John Morton,Seton Hall,3.0,128.0,1879.0,609.0,161.0,342.0,0.386,0.224,0.787,14.7,4.8,1.3,2.7,0.5,0.013,-3.0,-0.5,-1.334631361773936,0.6780889406216015,-3.0,1
31,1989,31,31,LAC,Jeff Martin,Murray State,2.0,143.0,2685.0,956.0,290.0,109.0,0.417,0.282,0.694,18.8,6.7,2.0,0.8,2.1,0.038,-3.2,-0.8,-1.2805248512742438,0.4430414586564689,-3.2,1
32,1989,32,32,NJN,Stanley Brundy,DePaul,1.0,16.0,128.0,37.0,26.0,3.0,0.5,0.0,0.389,8.0,2.3,1.6,0.2,0.2,0.057,-3.1,0.0,-2.2852173354168173,-2.2719975723397425,-3.1,1
35,1989,35,35,DAL,Pat Durham,Colorado State,2.0,64.0,930.0,323.0,108.0,57.0,0.469,0.192,0.667,14.5,5.0,1.7,0.9,0.7,0.037,-2.0,0.0,-1.6295515338179098,-0.19228469418810298,-2.0,1
38,1989,38,38,MIN,Doug West,Villanova,12.0,676.0,16649.0,6477.0,1670.0,1292.0,0.481,0.191,0.801,24.6,9.6,2.5,1.9,17.7,0.051,-3.0,-4.2,1.3544316674606143,-0.209618760991471,-3.0,1
43,1989,43,43,CLE,Chucky Brown,NC State,13.0,694.0,11962.0,4125.0,2148.0,549.0,0.491,0.227,0.699,17.2,5.9,3.1,0.8,19.0,0.076,-2.7,-2.0,0.7566244138838824,-0.5102992387862123,-2.7,1
50,1989,50,50,NYK,Brian Quinnett,Washington State,3.0,138.0,1530.0,474.0,224.0,76.0,0.414,0.326,0.677,11.1,3.4,1.6,0.6,0.9,0.027,-3.7,-0.6,-1.3822665476422789,0.6162540017968061,-3.7,1
52,1989,52,52,PHO,Greg Grant,Trenton State University,6.0,274.0,3350.0,767.0,248.0,751.0,0.383,0.281,0.71,12.2,2.8,0.9,2.7,1.6,0.023,-2.9,-0.8,-0.9419298182101887,0.6057873084950923,-2.9,1
63,1990,9,9,MIA,Willie Burton,Minnesota,8.0,316.0,6666.0,3243.0,932.0,393.0,0.424,0.345,0.786,21.1,10.3,2.9,1.2,9.1,0.065,-2.5,-0.9,-0.24595350193643192,0.9082390344072658,-2.5,1
68,1990,14,14,SAC,Travis Mays,Texas,3.0,115.0,2964.0,1273.0,233.0,326.0,0.41,0.362,0.749,25.8,11.1,2.0,2.8,2.4,0.039,-2.6,-0.5,-1.0780195170008056,1.0786846057066939,-2.6,1
72,1990,18,18,SAC,Duane Causwell,Temple,11.0,541.0,9409.0,2648.0,2273.0,243.0,0.507,0.286,0.618,17.4,4.9,4.2,0.4,15.8,0.081,-2.3,-0.7,0.22681324922313406,-0.5586466214996917,-2.3,1
