umap1,umap2,metric,quartile
-1.9678898,12.60147,9.4,3
-0.9883972,12.527524,15.0,3
-0.4307217,10.319433,7.3,3
-3.889067,6.9591455,-1.1,0
1.6501706,-6.49391,0.0,1
0.64909625,-6.563827,-0.6,0
-2.7015033,5.280669,0.0,1
-2.6079855,2.6841204,-1.2,0
0.044377197,-6.5181713,-0.2,1
1.7431875,-7.0402155,-2.5,0
-3.8050914,6.3931546,5.2,3
-3.5255995,6.055021,0.0,1
-1.9713118,10.066183,6.8,3
0.48244336,9.715731,2.6,2
-0.53571486,15.199665,28.8,3
-0.06173371,7.847153,-1.1,0
0.54949045,-6.15333,0.0,1
0.6856194,-4.8724904,-0.1,1
-2.3387053,10.117807,4.5,3
18.287968,8.530975,0.0,1
1.4084959,6.356448,2.9,2
0.8453182,-4.94557,-0.1,1
-0.546623,-3.9716604,-0.2,1
1.7253758,-7.0429053,-0.9,0
-0.77615297,-2.8359299,-0.1,1
0.29467827,-4.8613515,0.0,1
18.047972,8.451409,0.0,1
-0.86168855,15.12528,17.7,3
18.203043,8.268161,0.0,1
18.23632,8.399885,0.0,1
-2.0755181,1.1123397,-0.8,0
18.039892,8.599334,0.0,1
-0.92044204,-2.7299,0.0,1
-0.94732153,-0.16420113,0.0,1
18.23424,8.519478,0.0,1
-1.3254352,10.628348,11.8,3
-1.8991108,1.6460812,-0.1,1
-4.027439,9.454252,4.6,3
1.3501432,-5.0643573,-0.1,1
18.372643,8.391038,0.0,1
17.960377,8.616877,0.0,1
18.504988,8.4474,0.0,1
2.979502,-4.953877,-0.4,0
18.255611,8.386957,0.0,1
18.396353,8.600933,0.0,1
-0.18630038,12.511259,13.5,3
-0.025641361,15.479859,73.5,3
0.23372729,14.229302,43.6,3
0.7546792,12.209156,19.9,3
1.1902735,13.208063,3.8,3
-3.4676323,-1.7167951,-3.2,0
-1.1408452,10.723003,4.0,3
0.6356158,10.678856,6.2,3
1.1814333,6.61566,-5.2,0
-0.24717243,13.49826,42.3,3
-4.882968,3.6727388,1.5,2
-2.8935392,5.202892,1.0,2
-0.75643694,13.859993,12.3,3
0.85339546,-5.6650567,-1.6,0
-2.5299172,9.97594,7.9,3
-4.3703012,-1.6240263,-1.1,0
-2.580471,11.830132,12.9,3
-2.3209507,1.6722444,-0.9,0
-3.115017,0.26002237,-0.7,0
-0.97970706,-0.07793694,-0.6,0
-1.9303861,5.4835134,-3.3,0
-3.0866742,-1.0976287,-1.3,0
-1.6701058,11.031295,15.2,3
-0.576482,6.433884,0.3,2
-4.0613766,3.5332806,0.7,2
-3.44877,11.629843,14.5,3
-3.1404643,0.97990966,0.2,2
18.15464,8.47491,0.0,1
1.4691314,-7.0086937,-0.6,0
-3.2197454,12.011479,1.3,2
18.393246,8.433649,0.0,1
-0.07005158,6.1165886,-0.3,0
-4.4175415,-1.7539705,-0.5,0
-0.35887048,-7.08396,0.0,1
-0.28813565,7.60644,5.1,3
18.210121,8.276687,0.0,1
-1.49985,0.035637982,-0.2,1
-3.523261,0.42601153,-0.5,0
-4.1658344,-0.23534247,-0.2,1
0.10401692,-2.7464738,0.0,1
18.206078,8.607187,0.0,1
18.425825,8.649221,0.0,1
1.7687572,-4.8878284,-0.3,0
18.452902,8.4400215,0.0,1
-1.6764469,0.8347916,-0.1,1
-2.6049314,10.42376,7.9,3
-3.1352248,0.6823554,0.2,2
18.079525,8.517762,0.0,1
18.217218,8.400317,0.0,1
1.726828,-3.6065717,0.0,1
-0.7600336,5.9772167,1.8,2
-2.5227168,4.955641,0.3,2
18.371273,8.392436,0.0,1
2.1185997,5.0696597,-0.2,1
1.0279866,12.0457535,3.0,2
1.5046732,12.082268,13.2,3
-0.4588806,13.951459,17.4,3
1.0396382,13.552932,38.3,3
1.1031291,14.375856,96.9,3
0.029173242,7.6500025,-4.3,0
-1.0652549,14.998947,16.8,3
-1.5031109,2.8244097,-0.2,1
-1.9019477,-1.6181952,-0.7,0
1.0665011,12.065666,8.6,3
0.083578065,7.6175804,2.4,2
-1.0411754,6.680736,-0.7,0
-0.46320763,9.40463,-0.1,1
-2.267793,9.540001,-1.5,0
-1.7729893,12.753761,27.7,3
-0.3927894,8.5626545,0.6,2
-3.2321608,11.805955,9.4,3
1.0669029,9.41458,10.3,3
-0.12936454,-0.8409198,-0.4,0
1.2313975,6.6779346,-3.6,0
0.21271715,13.969263,28.8,3
-1.9324166,-0.26366886,-1.8,0
-3.33009,11.784448,6.0,3
-3.193254,1.3469789,-2.7,0
1.0862591,-6.2441444,-1.3,0
-1.690861,-2.6252053,-0.1,1
-3.1464393,0.42938462,0.2,2
0.6241733,9.028877,5.1,3
-2.7780914,5.114823,0.4,2
-1.2313174,-1.8714904,-0.4,0
0.58140177,-6.8050237,-0.8,0
-0.95383203,-0.810827,-0.2,1
0.48196074,-6.103077,-0.7,0
0.992965,7.3769183,-2.4,0
-3.3671849,-2.397539,-0.6,0
-2.8545928,-0.12832136,0.0,1
-0.8007313,0.43930826,-0.1,1
18.115213,8.406609,0.0,1
-1.1380452,-0.55500424,-0.4,0
1.4570221,-6.036571,-0.2,1
18.068499,8.27675,0.0,1
-1.2146846,-2.5342057,-0.1,1
-2.5392315,13.466774,5.9,3
18.241335,8.604264,0.0,1
18.170582,8.421418,0.0,1
17.962326,8.501362,0.0,1
-2.6699297,4.925386,0.7,2
-4.2747684,2.8330343,-0.4,0
-1.5706781,-0.42701113,-0.4,0
-3.018012,-0.15526173,-0.2,1
18.229492,8.333929,0.0,1
-3.792596,7.836163,8.0,3
18.005863,8.531056,0.0,1
18.026514,8.26061,0.0,1
14.921962,5.326753,0.0,1
-3.5239658,4.611572,-1.1,0
0.069086194,-2.6245623,0.0,1
1.5388333,5.8994718,-0.2,1
-0.027803216,14.976245,49.6,3
1.5667467,12.222942,31.3,3
0.77099234,13.007904,21.9,3
-0.4374727,15.253782,30.7,3
0.5331441,14.632506,57.6,3
0.8432336,13.3877125,18.0,3
0.9890308,9.603586,-3.0,0
-2.5684001,10.541633,18.0,3
-0.47988784,6.5005026,-1.1,0
1.4127599,11.104613,4.1,3
1.832586,-7.0195937,-2.3,0
-0.4853924,8.098968,-5.9,0
0.6410576,14.785025,80.1,3
-0.49337116,12.3990755,26.2,3
-0.180029,15.428593,48.2,3
-3.296502,8.661242,4.8,3
1.4239215,12.205893,15.6,3
-4.097994,5.183652,-1.0,0
-2.8841326,8.1266985,0.8,2
0.7312152,11.882446,10.2,3
0.23171721,-2.8297396,-0.2,1
-2.4008763,1.5375786,-1.0,0
-1.1617125,1.8258331,-0.1,1
-0.95905244,13.912949,8.9,3
-2.4622765,0.4806265,0.1,2
0.7467069,8.3201275,7.4,3
-0.577758,1.1125547,0.3,2
2.0107048,-5.5375977,-0.8,0
-1.9443476,5.583378,-1.1,0
0.63526887,8.040473,-4.9,0
-2.9936352,-2.6476617,-0.7,0
18.474525,8.504179,0.0,1
-3.4672747,7.0492563,1.2,2
18.643126,8.325081,0.0,1
18.586311,8.389995,0.0,1
18.557905,8.4034195,0.0,1
-3.4507377,11.492355,-0.3,0
2.8270926,-5.0996904,-0.3,0
18.731798,8.161742,0.0,1
18.432507,8.608467,0.0,1
-2.2932913,-0.44536301,-0.1,1
-2.2199624,3.3300405,-0.3,0
0.5495566,-4.764029,-0.1,1
-0.2918651,8.81031,-0.4,0
18.502699,8.392958,0.0,1
-0.9104066,0.35735878,0.0,1
18.697588,8.318481,0.0,1
-4.0194674,3.7587826,-0.7,0
0.73106885,-5.6781626,-0.7,0
18.725956,8.406886,0.0,1
-1.8684664,0.5789443,-0.6,0
-2.4680784,-2.0651822,-0.9,0
-0.3713312,-6.8872843,0.0,1
-2.0308638,9.6403,3.0,2
18.632982,8.420147,0.0,1
-1.7532755,-1.1058401,-0.1,1
-1.5192739,1.7116591,-0.2,1
18.54802,8.481132,0.0,1
1.1450582,14.295141,91.1,3
-0.75783545,10.787758,9.6,3
-0.46979433,15.101428,43.5,3
-2.8021514,12.817173,10.1,3
0.46859527,9.597453,0.8,2
-3.2795148,8.831515,-2.5,0
-0.83398557,11.292553,6.4,3
0.9748815,8.240874,1.1,2
0.04377005,14.235833,55.7,3
-0.66969603,7.1969175,-2.6,0
-3.9005005,3.309307,-1.2,0
-2.340629,8.941732,5.6,3
-2.7145252,11.610013,13.5,3
-0.6483514,8.0003195,-5.3,0
0.2300728,7.886419,4.4,3
-2.5526528,13.521988,10.5,3
-1.6559588,1.3392613,-0.4,0
-3.2013168,-2.5902915,-0.5,0
1.1460029,6.8042893,2.9,2
1.4582752,-4.46258,-0.2,1
-3.4750645,9.03833,6.1,3
-0.32118854,0.8849962,-0.4,0
-2.4393892,11.677598,10.0,3
-1.646662,-2.3700228,-1.3,0
2.798591,-6.402294,-1.4,0
-2.8565218,-0.47063488,0.4,2
-3.437772,11.016143,-4.5,0
-0.6294215,-4.1356406,-0.5,0
18.561956,8.497111,0.0,1
18.694637,8.337088,0.0,1
0.3018186,-6.821264,0.0,1
0.13387273,-6.672652,-0.1,1
-2.799628,1.4411446,0.0,1
-2.9662795,-2.3684332,-0.2,1
1.6964949,-6.135473,0.0,1
-1.900287,1.2398701,0.0,1
