id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,umap1,umap2,metric_value,quartile
795,2003,10,10,WAS,Jarvis Hayes,Georgia,7.0,427.0,9898.0,3553.0,1330.0,459.0,0.415,0.356,0.798,23.2,8.3,3.1,1.1,10.2,0.049,-2.5,-1.3,-3.7643962,7.1813827,-1.3,0
800,2003,15,15,ORL,Reece Gaines,Louisville,3.0,71.0,605.0,123.0,53.0,50.0,0.324,0.269,0.606,8.5,1.7,0.7,0.7,-0.6,-0.049,-6.1,-0.6,-1.3156251,-1.9494853,-0.6,0
802,2003,17,17,PHO,Žarko Čabarkapa,International,3.0,150.0,1550.0,640.0,312.0,85.0,0.427,0.273,0.733,10.3,4.3,2.1,0.6,1.1,0.035,-3.9,-0.7,-2.2801785,-0.28511095,-0.7,0
804,2003,19,19,UTA,Sasha Pavlović,International,10.0,567.0,8888.0,2787.0,1000.0,517.0,0.404,0.346,0.673,15.7,4.9,1.8,0.9,7.0,0.038,-3.4,-3.1,-2.9156961,7.8304853,-3.1,0
805,2003,20,20,BOS,Dahntay Jones,Duke,13.0,624.0,9799.0,3353.0,1082.0,529.0,0.439,0.329,0.751,15.7,5.4,1.7,0.8,9.9,0.048,-3.7,-4.1,-2.8585868,7.958538,-4.1,0
807,2003,22,22,NJN,Zoran Planinić,International,3.0,148.0,1584.0,561.0,198.0,165.0,0.405,0.289,0.677,10.7,3.8,1.3,1.1,1.5,0.046,-3.5,-0.6,-2.701986,-0.3234876,-0.6,0
815,2003,30,30,NYK,Maciej Lampe,International,3.0,64.0,632.0,215.0,142.0,22.0,0.407,0.25,0.676,9.9,3.4,2.2,0.3,-0.2,-0.014,-7.0,-0.8,-2.2060843,-1.2658018,-0.8,0
816,2003,31,31,CLE,Jason Kapono,UCLA,9.0,509.0,9068.0,3398.0,844.0,417.0,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055,-2.6,-1.3,-4.088391,7.284615,-1.3,0
822,2003,37,37,ATL,Travis Hansen,BYU,1.0,41.0,507.0,123.0,70.0,19.0,0.354,0.3,0.815,12.4,3.0,1.7,0.5,0.2,0.019,-6.2,-0.5,-0.051934805,-0.02262031,-0.5,0
826,2003,41,41,SEA,Willie Green,Detroit Mercy,12.0,731.0,14783.0,6059.0,1303.0,1018.0,0.425,0.346,0.765,20.2,8.3,1.8,1.4,12.9,0.042,-2.7,-2.7,-2.5760593,10.047892,-2.7,0
841,2003,56,56,BOS,Brandon Hunter,Ohio University,2.0,67.0,630.0,220.0,187.0,22.0,0.476,0.0,0.488,9.4,3.3,2.8,0.3,0.7,0.055,-3.7,-0.3,1.9348782,-4.8806963,-0.3,0
851,2004,8,8,TOR,Rafael Araújo,BYU,3.0,139.0,1585.0,389.0,395.0,41.0,0.405,0.25,0.679,11.4,2.8,2.8,0.3,-0.4,-0.013,-7.2,-2.1,-2.5636065,-1.1080304,-2.1,0
853,2004,10,10,CLE,Luke Jackson,Oregon,4.0,73.0,724.0,252.0,89.0,58.0,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01,-3.7,-0.3,-0.94935477,0.84774977,-0.3,0
855,2004,12,12,SEA,Robert Swift,International,4.0,97.0,1500.0,416.0,376.0,20.0,0.506,0.0,0.61,15.5,4.3,3.9,0.2,1.7,0.054,-3.8,-0.7,2.6031606,-6.219196,-0.7,0
856,2004,13,13,POR,Sebastian Telfair,International,10.0,564.0,12149.0,4183.0,898.0,1960.0,0.39,0.319,0.777,21.5,7.4,1.6,3.5,5.0,0.02,-3.4,-4.2,-4.004154,9.643187,-4.2,0
865,2004,22,22,NJN,Viktor Khryapa,International,4.0,143.0,2351.0,643.0,492.0,142.0,0.443,0.292,0.658,16.4,4.5,3.4,1.0,2.0,0.041,-3.5,-0.9,-3.0878441,-0.09003628,-0.9,0
866,2004,23,23,POR,Sergei Monia,International,1.0,26.0,343.0,77.0,52.0,19.0,0.333,0.265,0.714,13.2,3.0,2.0,0.7,-0.2,-0.025,-5.3,-0.3,-0.7459811,-1.4115361,-0.3,0
872,2004,29,29,IND,David Harrison,Colorado,4.0,189.0,2686.0,949.0,549.0,47.0,0.53,0.0,0.525,14.2,5.0,2.9,0.2,3.2,0.057,-4.4,-1.7,2.9299734,-6.2035294,-1.7,0
874,2004,31,31,CHI,Jackson Vroman,Iowa State,2.0,87.0,1111.0,285.0,261.0,51.0,0.408,0.0,0.58,12.8,3.3,3.0,0.6,0.0,0.001,-5.1,-0.9,1.0225141,-5.71138,-0.9,0
876,2004,33,33,LAC,Lionel Chalmers,Xavier,1.0,36.0,433.0,111.0,31.0,51.0,0.336,0.245,0.625,12.0,3.1,0.9,1.4,-0.2,-0.025,-5.3,-0.4,-1.2726215,-1.940275,-0.4,0
