umap1,umap2,metric,quartile
-1.7374003,10.776055,1.9,2
-3.0086467,1.3430496,0.6,2
-3.7886484,-1.6371287,0.7,2
2.1225328,4.842269,0.6,2
1.5503238,6.129701,3.0,2
-3.3708487,6.6231847,2.4,2
-3.195284,5.8753157,0.8,2
1.4073669,10.616565,0.8,2
0.09801604,10.173721,2.2,2
-4.1902637,2.4082997,0.1,2
-0.4681741,6.3314404,0.1,2
-2.7634027,12.999076,1.9,2
-1.6678517,3.645018,0.1,2
2.0298479,5.2664733,1.5,2
-0.37844422,7.349243,3.4,2
-0.12501726,9.697946,3.2,2
-2.9209306,7.816981,0.3,2
-2.9258354,8.07737,0.2,2
-1.9953725,3.6776102,0.1,2
-1.2197363,0.24345702,0.1,2
-3.7884572,-0.700964,1.0,2
-3.0779474,8.67917,3.4,2
0.3066809,7.7887483,1.7,2
-3.15342,8.724615,2.2,2
-1.278343,-0.47452125,0.1,2
-3.8793056,7.30632,2.2,2
-0.8748775,8.286732,0.6,2
-1.2485055,2.4498186,0.8,2
0.48244336,9.715731,2.6,2
1.4084959,6.356448,2.9,2
-4.882968,3.6727388,1.5,2
-2.8935392,5.202892,1.0,2
-0.576482,6.433884,0.3,2
-4.0613766,3.5332806,0.7,2
-3.1404643,0.97990966,0.2,2
-3.2197454,12.011479,1.3,2
-3.1352248,0.6823554,0.2,2
-0.7600336,5.9772167,1.8,2
-2.5227168,4.955641,0.3,2
1.0279866,12.0457535,3.0,2
0.083578065,7.6175804,2.4,2
-0.3927894,8.5626545,0.6,2
-3.1464393,0.42938462,0.2,2
-2.7780914,5.114823,0.4,2
-2.6699297,4.925386,0.7,2
-2.8841326,8.1266985,0.8,2
-2.4622765,0.4806265,0.1,2
-0.577758,1.1125547,0.3,2
-3.4672747,7.0492563,1.2,2
-2.0308638,9.6403,3.0,2
0.46859527,9.597453,0.8,2
0.9748815,8.240874,1.1,2
1.1460029,6.8042893,2.9,2
-2.8565218,-0.47063488,0.4,2
-3.2897363,11.582986,2.0,2
2.350882,-5.56058,0.1,2
-0.72972345,6.539493,0.7,2
1.2777584,6.4514174,2.6,2
-2.303537,5.0159926,1.3,2
-3.3647144,8.096094,0.5,2
-3.9882705,9.592004,0.6,2
-2.7199142,5.3914557,1.7,2
-2.8152606,8.074053,3.0,2
-1.1786468,6.4092097,2.0,2
-4.2225795,1.0749781,0.2,2
-1.0517124,2.713731,0.4,2
-3.876945,5.1169558,0.3,2
-0.2474672,10.132118,3.1,2
-2.550948,8.576198,1.4,2
-3.0264142,7.563776,2.1,2
-4.0968103,5.9313245,2.3,2
-1.8379978,5.6500793,0.3,2
-1.4639231,2.1407688,0.1,2
2.0828762,5.213371,2.0,2
0.16902108,7.8218193,1.1,2
-0.7439156,7.457159,3.0,2
-3.6668234,5.1349573,0.6,2
1.1040397,8.040464,0.8,2
-1.6518,8.313031,3.0,2
-4.1406727,6.5910473,3.2,2
-2.7833183,5.2812867,1.0,2
-4.149212,4.9581933,2.8,2
-0.48460266,6.846817,0.2,2
-2.897592,-0.6079559,0.4,2
1.096307,9.248422,2.9,2
-2.7312157,13.23345,2.8,2
0.87992305,8.113313,1.2,2
-3.9617777,7.361562,2.6,2
-3.6754782,5.0818086,0.6,2
-3.173622,3.998229,0.1,2
-2.732709,5.2094975,0.6,2
-4.0036197,7.536937,1.4,2
-2.2939503,10.060437,2.6,2
1.2617781,10.074336,0.4,2
-2.3864033,8.635693,3.2,2
0.3770611,10.121168,3.1,2
-2.4117415,8.884754,2.1,2
-4.20075,6.095201,0.5,2
1.0393747,9.150171,0.6,2
-3.4140687,8.090417,2.5,2
1.43441,11.273957,2.9,2
-2.5344446,9.210943,1.9,2
-0.21070231,10.141593,1.2,2
-3.6684785,3.1040976,0.7,2
-3.8550315,7.7204823,2.3,2
-3.4585636,11.710408,3.2,2
-3.3495457,-0.8755961,0.2,2
-3.2814968,4.1386027,0.4,2
-2.6355438,9.425605,2.4,2
-0.8171364,7.7862177,0.4,2
-0.21989769,7.8434434,0.1,2
-1.6270207,3.4400697,1.1,2
-2.5930254,2.9632921,0.1,2
-2.5666814,8.797478,1.4,2
-1.6431053,10.0286,1.5,2
-1.5298282,6.625324,1.7,2
-3.8977787,3.6378968,0.5,2
-4.4162235,-1.4539804,1.6,2
-3.820984,6.3804035,1.0,2
-3.0350804,5.797868,0.1,2
1.3976276,6.4061813,1.4,2
-3.8590527,6.8863974,2.4,2
2.0254755,5.2761364,0.3,2
2.8835552,-5.014363,0.8,2
-1.4750266,10.160315,2.0,2
-0.56617993,10.319607,3.4,2
-4.777534,2.8000674,1.2,2
-1.992331,11.294493,3.3,2
-3.429429,10.73022,2.7,2
-1.7531961,11.120739,2.4,2
2.7111013,-5.418278,0.2,2
-1.5388755,9.77367,0.9,2
-3.786781,9.929994,1.1,2
-3.1947498,7.7158194,1.6,2
-4.0344396,3.3449955,0.4,2
0.8813849,8.213813,0.5,2
0.981798,8.207128,2.0,2
1.6079443,6.0448895,2.2,2
1.1344835,7.760717,0.1,2
-1.7963647,8.921042,2.0,2
-2.2373888,1.2489011,0.3,2
-3.0440822,2.7546504,0.2,2
-2.939767,9.071345,0.6,2
-2.573327,3.2261229,1.4,2
-2.4045131,10.163229,2.2,2
-3.744577,6.846376,2.2,2
-1.7655797,8.822377,1.1,2
1.389685,6.5746894,1.4,2
-2.1415176,8.837284,2.9,2
-3.8375113,0.44722125,0.4,2
-3.8341951,6.7436376,2.9,2
-2.959001,-0.44043323,0.8,2
-2.6782415,4.2657733,0.7,2
-1.0057513,2.465281,0.5,2
-2.4801278,12.218795,0.5,2
-2.5400555,8.895381,1.2,2
1.5245004,5.8468647,0.8,2
1.8941032,5.4567113,1.8,2
1.1696095,5.563615,1.1,2
-3.7587905,4.9405303,0.3,2
-3.0744293,5.867006,1.3,2
-4.0810485,9.050611,1.8,2
-4.3878946,4.130958,2.6,2
-2.9707,9.413323,2.3,2
1.7940019,-6.3488274,0.1,2
-4.250685,-0.2609253,1.9,2
-2.9687264,7.187204,0.8,2
0.56776434,10.538322,1.4,2
-3.7240481,9.856148,1.4,2
-0.7503224,10.634289,2.8,2
-3.5905495,7.8713765,0.9,2
-3.0840166,3.057168,0.4,2
-3.1977205,0.975725,1.0,2
-3.9047086,8.28807,0.1,2
-4.1488214,5.1709995,2.0,2
-2.602611,0.59397644,0.4,2
3.0617518,-5.1688523,0.1,2
-3.3551745,8.98872,0.2,2
-1.7326076,7.5660386,0.6,2
-4.1513247,6.448566,1.1,2
-1.2053376,7.5198493,3.4,2
-4.089134,5.2813535,2.7,2
-1.1814201,2.7877402,0.1,2
1.2396286,5.910526,0.2,2
-4.1278276,8.495443,2.4,2
-2.8803895,7.9094977,0.6,2
-3.155846,1.8762997,0.5,2
-1.6344825,8.5309515,0.2,2
-4.037968,9.317855,1.7,2
-3.788084,8.690785,1.9,2
-4.401768,0.27001476,1.9,2
-2.7196004,12.3470745,3.4,2
-4.0187564,7.2870617,3.0,2
-4.801821,3.5910203,2.3,2
-3.9687502,6.9028707,0.9,2
-1.2903776,3.1306884,0.1,2
-3.8788989,-1.3967547,1.3,2
-3.1081843,5.9536963,0.6,2
-4.0274115,6.379761,0.9,2
-1.5455136,11.5584545,2.6,2
-2.8038173,6.9433274,2.5,2
-3.5942478,7.826438,0.4,2
-3.2000368,7.1573005,2.6,2
-3.4885948,8.870287,2.1,2
-1.9035387,0.86753696,0.2,2
-3.7275252,7.9942756,2.2,2
-2.9929328,5.6651964,2.0,2
3.0576706,-5.0242476,0.1,2
-3.696808,4.512536,0.4,2
-3.4516,6.7403035,3.4,2
-3.0065346,7.3602567,2.0,2
-2.749213,5.3683867,2.0,2
-2.6656313,8.696084,0.5,2
-4.724345,2.9280684,0.5,2
-2.790847,5.0222263,0.5,2
-3.3604515,3.3266473,0.4,2
-1.6945267,6.166302,2.3,2
-0.6521731,6.3577046,2.7,2
-4.5436835,4.393119,2.5,2
3.1368172,-5.0910187,0.1,2
-3.6827176,7.028118,0.5,2
-3.1144464,4.375067,0.2,2
-4.1446548,3.754581,0.3,2
-3.7267334,6.1704664,2.0,2
-3.223309,6.637283,3.3,2
-3.2360697,4.2149925,0.3,2
-4.492512,0.73955154,0.8,2
-4.399918,0.75135523,0.3,2
-3.1304734,-0.033947468,0.1,2
-2.1226087,4.2574573,1.0,2
-2.9648519,2.8306944,2.0,2
-3.404163,5.8399186,0.1,2
-3.561568,6.079706,3.0,2
-3.5036304,0.42343733,0.1,2
-2.8265958,8.473616,2.7,2
-4.2074394,1.152596,1.1,2
-3.396833,6.411061,3.4,2
-3.8753576,-0.93749905,0.1,2
-2.8980649,0.32619777,0.1,2
-4.2071414,-0.9495281,1.1,2
-4.3390627,1.0388923,3.0,2
-4.26798,1.1460153,2.2,2
-2.0373988,1.3033818,0.1,2
-3.3750055,4.1041336,2.8,2
-4.2585406,3.8872797,2.3,2
-4.5913596,4.2894425,1.9,2
-3.1347303,2.2421153,3.1,2
-3.1801567,4.1022086,2.2,2
-3.1553416,6.1364484,1.4,2
-1.907948,3.977958,1.4,2
-3.2469966,2.5641603,0.4,2
-2.0445783,4.462172,0.3,2
-1.3353113,2.3241994,0.2,2
-1.8687233,3.5524807,0.7,2
-2.9206553,5.7495613,2.7,2
-2.071206,4.450964,1.6,2
-4.3117523,-1.1608546,1.5,2
-4.2072673,4.5931077,1.7,2
-3.0035686,4.4953127,3.1,2
-2.245175,3.6964185,0.2,2
-2.546468,5.368208,1.1,2
-4.419829,0.94788605,1.9,2
-3.6807728,3.965448,1.6,2
-2.1505482,4.495151,1.9,2
-1.6717862,2.3696325,1.0,2
-3.6204054,-0.6180305,0.4,2
-3.8092377,2.8035254,3.3,2
-3.0164924,3.046073,0.1,2
-0.92586875,0.66984,0.1,2
-2.0480683,4.1824346,0.6,2
-3.1900096,3.184822,1.4,2
-4.3812804,-1.2952286,1.0,2
-3.799938,2.6264718,0.7,2
2.7837532,-4.5257716,2.3,2
-1.1656691,2.6544704,0.5,2
-3.625362,1.6837435,0.1,2
-3.1595476,2.672656,1.4,2
-1.9178897,1.4490169,0.1,2
-2.7028477,3.8646412,1.9,2
2.78252,-4.59443,0.8,2
-3.5829222,1.7222102,1.5,2
-3.3698301,1.4879453,0.2,2
-1.3376868,2.9151504,0.8,2
-3.5882518,0.31579882,0.1,2
-2.1879911,3.7282505,1.9,2
-1.9351699,3.8435159,1.9,2
-1.4920058,3.380764,1.9,2
-1.3588605,3.148996,1.4,2
-1.9457283,3.7910323,3.2,2
-3.848933,0.011119721,1.0,2
-2.5081055,-0.46958536,0.2,2
-3.3405828,-0.81230026,0.3,2
-0.29682285,1.3870357,0.3,2
-3.8760943,1.2344025,0.4,2
-4.3715897,-1.7016826,0.4,2
-2.2097802,1.6838626,0.1,2
