id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,umap1,umap2,metric_value,quartile
129,1991,21,21,UTA,Eric Murdock,Providence,9.0,508.0,11882.0,5118.0,1261.0,2467.0,0.438,0.343,0.786,23.4,10.1,2.5,4.9,25.6,0.103,2.0,12.1,2.4421072,6.041582,0.103,2
132,1991,24,24,BOS,Rick Fox,UNC,13.0,930.0,23723.0,8966.0,3517.0,2649.0,0.45,0.349,0.77,25.5,9.6,3.8,2.8,44.7,0.09,0.0,11.7,0.7553649,4.005399,0.09,2
145,1991,37,37,LAC,Elliot Perry,Memphis,10.0,549.0,9501.0,3449.0,742.0,1699.0,0.459,0.359,0.783,17.3,6.3,1.4,3.1,14.0,0.071,-0.5,3.6,3.5446277,6.5512085,0.071,2
153,1991,45,45,MIL,Bobby Phills,Southern University and A&M College,9.0,467.0,13426.0,5153.0,1469.0,1246.0,0.443,0.39,0.738,28.7,11.0,3.1,2.7,27.2,0.097,0.2,7.5,3.725226,5.94746,0.097,2
154,1991,46,46,PHO,Richard Dumas,Oklahoma State,3.0,102.0,2226.0,1080.0,351.0,111.0,0.509,0.231,0.694,21.8,10.6,3.4,1.1,4.5,0.097,-0.2,1.0,8.651163,4.7063265,0.097,2
167,1992,5,5,DEN,LaPhonso Ellis,Notre Dame,11.0,624.0,17616.0,7410.0,4032.0,981.0,0.452,0.302,0.73,28.2,11.9,6.5,1.6,32.8,0.089,-1.0,4.6,3.1072469,3.9112325,0.089,2
168,1992,6,6,WSB,Tom Gugliotta,NC State,13.0,763.0,23556.0,9895.0,5589.0,2140.0,0.451,0.284,0.757,30.9,13.0,7.3,2.8,40.2,0.082,0.6,15.3,1.3949625,2.7598376,0.082,2
169,1992,7,7,SAC,Walt Williams,Maryland,11.0,708.0,18818.0,8385.0,2794.0,1637.0,0.425,0.379,0.743,26.6,11.8,3.9,2.3,33.9,0.087,0.5,11.8,2.293819,4.4134984,0.087,2
171,1992,9,9,PHI,Clarence Weatherspoon,Southern Miss,13.0,915.0,27736.0,10483.0,6846.0,1346.0,0.471,0.196,0.743,30.3,11.5,7.5,1.5,58.4,0.101,-0.3,11.8,1.9184991,2.1402342,0.101,2
175,1992,13,13,DEN,Bryant Stith,Virginia,10.0,586.0,16417.0,5946.0,1983.0,1178.0,0.424,0.329,0.841,28.0,10.1,3.4,2.0,29.5,0.086,-0.8,4.9,2.853463,5.2137046,0.086,2
