umap1,umap2,metric,quartile
-3.15342,8.724615,0.07,2
-2.1537201,11.853729,0.072,2
-1.278343,-0.47452125,0.026,1
-1.5241301,13.0293,0.102,3
-2.8610542,9.132673,0.096,2
-4.0541897,5.3298407,0.067,2
-2.8362744,9.975499,0.088,2
-3.3250139,11.0525465,0.129,3
-0.2603121,7.5116425,0.089,2
-4.1328917,8.750286,0.036,1
-0.19607821,14.084856,0.077,2
2.8100486,-6.323728,0.001,0
-1.8598506,-2.2447188,-0.032,0
-4.2847357,2.6349077,0.069,2
2.8662097,-5.342224,0.109,3
1.5109445,12.222913,0.128,3
-0.098916136,8.449448,0.057,1
0.911066,-4.603499,0.051,1
-3.8793056,7.30632,0.082,2
-0.098894775,-0.84563667,0.037,1
-2.8509846,3.6361697,0.039,1
-2.0431466,2.5745966,0.041,1
-2.2194102,-1.9032651,-0.032,0
1.542237,-6.638505,-0.022,0
-0.66859204,-1.187604,-0.095,0
-3.4535506,-2.5200088,0.066,2
18.288155,8.782496,0.0,0
-1.2806005,8.461339,0.084,2
-0.8748775,8.286732,0.112,3
-1.2485055,2.4498186,0.087,2
18.052792,8.6554985,0.0,0
-2.8560166,0.9035072,0.023,1
0.53660643,-5.526894,0.026,1
2.0075696,-5.792562,0.048,1
-0.9290617,-0.33973536,0.0,0
18.194635,8.571194,0.0,0
2.5513082,-5.6920376,0.058,1
18.371204,8.598205,0.0,0
-0.24294253,-4.683474,-0.126,0
18.29623,8.210325,0.0,0
18.208767,8.313286,0.0,0
1.0105025,13.533761,0.132,3
0.9705378,9.929609,0.1,3
-1.6901436,13.223142,0.125,3
-1.4721115,12.673736,0.092,2
-2.165466,11.20829,0.061,2
-1.2745013,10.354628,0.05,1
-2.8364253,4.367898,-0.014,0
0.8371179,11.801277,0.088,2
-0.36755335,11.771065,0.085,2
-1.9678898,12.60147,0.068,2
-0.9883972,12.527524,0.094,2
-0.4307217,10.319433,0.088,2
-3.889067,6.9591455,0.048,1
1.6501706,-6.49391,0.087,2
0.64909625,-6.563827,0.013,1
-2.7015033,5.280669,0.066,2
-2.6079855,2.6841204,0.025,1
0.044377197,-6.5181713,-0.064,0
1.7431875,-7.0402155,0.005,1
-3.8050914,6.3931546,0.104,3
-3.5255995,6.055021,0.04,1
