id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement,umap1,umap2,metric_value,quartile
3,1989,3,3,SAS,Sean Elliott,Arizona,12.0,742.0,24502.0,10544.0,3204.0,1897.0,0.465,0.375,0.799,33.0,14.2,4.3,2.6,55.7,0.109,0.2,13.5,-0.9985074,12.336482,0.2,3
4,1989,4,4,MIA,Glen Rice,Michigan,15.0,1000.0,34985.0,18336.0,4387.0,2097.0,0.456,0.4,0.846,35.0,18.3,4.4,2.1,88.7,0.122,0.8,24.9,0.22161639,13.564063,0.8,3
10,1989,10,10,MIN,Pooh Richardson,UCLA,10.0,639.0,19399.0,7083.0,1807.0,4180.0,0.444,0.329,0.652,30.4,11.1,2.8,6.5,26.7,0.066,0.2,10.5,-2.5100935,13.50083,0.2,3
11,1989,11,11,ORL,Nick Anderson,Illinois,13.0,800.0,24922.0,11529.0,4064.0,2087.0,0.446,0.356,0.667,31.2,14.4,5.1,2.6,55.3,0.106,1.9,24.7,-0.2582629,12.137405,1.9,3
12,1989,12,12,NJN,Mookie Blaylock,Oklahoma,13.0,889.0,31026.0,11962.0,3659.0,5972.0,0.409,0.336,0.736,34.9,13.5,4.1,6.7,71.8,0.111,3.0,39.2,-0.658222,15.21557,3.0,3
14,1989,14,14,GSW,Tim Hardaway,Texas-El Paso,13.0,867.0,30626.0,15373.0,2855.0,7095.0,0.431,0.355,0.782,35.3,17.7,3.3,8.2,85.0,0.133,3.1,39.6,-0.3866888,15.37971,3.1,3
16,1989,16,16,SEA,Dana Barros,Boston College,14.0,850.0,19480.0,8901.0,1609.0,2837.0,0.46,0.411,0.858,22.9,10.5,1.9,3.3,49.6,0.122,1.7,18.1,-2.4251838,12.675026,1.7,3
17,1989,17,17,SEA,Shawn Kemp,Trinity Valley CC,14.0,1051.0,29293.0,15347.0,8834.0,1704.0,0.488,0.277,0.741,27.9,14.6,8.4,1.6,89.5,0.147,0.6,19.4,1.2479271,13.367769,0.6,3
22,1989,22,22,POR,Byron Irvin,Missouri,3.0,87.0,849.0,451.0,123.0,73.0,0.471,0.35,0.722,9.8,5.2,1.4,0.8,2.1,0.121,0.6,0.6,-3.0086467,1.3430496,0.6,3
26,1989,26,26,LAL,Vlade Divac,International,16.0,1134.0,33838.0,13398.0,9326.0,3541.0,0.495,0.235,0.692,29.8,11.8,8.2,3.1,96.4,0.137,2.3,36.3,1.1733462,13.544852,2.3,3
36,1989,36,36,POR,Clifford Robinson,UConn,18.0,1380.0,42561.0,19591.0,6306.0,3094.0,0.438,0.356,0.689,30.8,14.2,4.6,2.2,89.7,0.101,0.5,26.6,0.6061273,13.985196,0.5,3
55,1990,1,1,NJN,Derrick Coleman,Syracuse,15.0,781.0,25903.0,12884.0,7232.0,1985.0,0.447,0.295,0.769,33.2,16.5,9.3,2.5,64.3,0.119,1.4,22.3,0.7458262,12.751487,1.4,3
56,1990,2,2,SEA,Gary Payton,Oregon State,17.0,1335.0,47117.0,21813.0,5269.0,8966.0,0.466,0.317,0.729,35.3,16.3,3.9,6.7,145.5,0.148,3.3,62.5,0.078645214,15.493266,3.3,3
58,1990,4,4,ORL,Dennis Scott,Georgia Tech,10.0,629.0,17983.0,8094.0,1774.0,1296.0,0.417,0.397,0.793,28.6,12.9,2.8,2.1,33.4,0.089,0.2,9.9,-2.2886915,10.790265,0.2,3
59,1990,5,5,CHH,Kendall Gill,Illinois,15.0,966.0,29481.0,12914.0,4002.0,2945.0,0.434,0.3,0.754,30.5,13.4,4.1,3.0,47.8,0.078,0.1,15.8,-0.37000218,13.5313835,0.1,3
73,1990,19,19,BOS,Dee Brown,Jacksonville University,12.0,608.0,16843.0,6758.0,1569.0,2227.0,0.436,0.357,0.825,27.7,11.1,2.6,3.7,33.4,0.095,0.8,11.6,-3.0359273,11.526071,0.8,3
83,1990,29,29,CHI,Toni Kukoč,International,13.0,846.0,22212.0,9810.0,3555.0,3119.0,0.447,0.335,0.729,26.3,11.6,4.2,3.7,59.6,0.129,2.8,27.2,-1.635214,13.026307,2.8,3
100,1990,46,46,IND,Kenny Williams,Elizabeth City State University,4.0,260.0,2918.0,1247.0,693.0,161.0,0.511,0.0,0.68,11.2,4.8,2.7,0.6,7.4,0.122,0.1,1.5,2.0298479,5.2664733,0.1,3
102,1990,48,48,PHO,Cedric Ceballos,Cal State Fullerton,11.0,609.0,14712.0,8693.0,3258.0,723.0,0.5,0.309,0.753,24.2,14.3,5.3,1.2,40.4,0.132,0.7,10.1,-1.1777252,9.966986,0.7,3
109,1991,1,1,CHH,Larry Johnson,UNLV,10.0,707.0,25685.0,11450.0,5300.0,2298.0,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13,1.4,22.0,0.1542708,12.34877,1.4,3
110,1991,2,2,NJN,Kenny Anderson,Georgia Tech,14.0,858.0,25868.0,10789.0,2641.0,5196.0,0.421,0.346,0.79,30.1,12.6,3.1,6.1,62.5,0.116,1.4,21.9,-1.3767805,14.742903,1.4,3
112,1991,4,4,DEN,Dikembe Mutombo,Georgetown,18.0,1196.0,36791.0,11729.0,12359.0,1240.0,0.518,0.0,0.684,30.8,9.8,10.3,1.0,117.0,0.153,1.7,33.9,1.66073,12.582846,1.7,3
113,1991,5,5,MIA,Steve Smith,Michigan State,14.0,942.0,28855.0,13430.0,3060.0,2922.0,0.44,0.358,0.845,30.6,14.3,3.2,3.1,83.7,0.139,1.4,24.6,-0.6232413,13.624594,1.4,3
119,1991,11,11,CLE,Terrell Brandon,Oregon,11.0,724.0,21545.0,9994.0,2174.0,4407.0,0.448,0.355,0.873,29.8,13.8,3.0,6.1,65.9,0.147,3.6,30.3,-1.9482174,14.05603,3.6,3
120,1991,12,12,NYK,Greg Anthony,UNLV,11.0,757.0,15850.0,5497.0,1417.0,2997.0,0.403,0.349,0.733,20.9,7.3,1.9,4.0,35.9,0.109,1.3,13.3,-3.1868784,12.205471,1.3,3
121,1991,13,13,IND,Dale Davis,Clemson,16.0,1094.0,29606.0,8706.0,8605.0,978.0,0.53,0.0,0.562,27.1,8.0,7.9,0.9,86.9,0.141,0.5,18.4,1.6966448,11.940531,0.5,3
129,1991,21,21,UTA,Eric Murdock,Providence,9.0,508.0,11882.0,5118.0,1261.0,2467.0,0.438,0.343,0.786,23.4,10.1,2.5,4.9,25.6,0.103,2.0,12.1,-3.7965908,10.638764,2.0,3
140,1991,32,32,PHO,Chad Gallagher,Creighton,1.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,1.5,3.0,0.0,0.0,0.1,1.442,30.1,0.0,2.2550108,-3.8417053,30.1,3
153,1991,45,45,MIL,Bobby Phills,Southern University and A&M College,9.0,467.0,13426.0,5153.0,1469.0,1246.0,0.443,0.39,0.738,28.7,11.0,3.1,2.7,27.2,0.097,0.2,7.5,-3.4951313,9.189177,0.2,3
163,1992,1,1,ORL,Shaquille O'Neal,LSU,19.0,1207.0,41918.0,28596.0,13099.0,3026.0,0.582,0.045,0.527,34.7,23.7,10.9,2.5,181.7,0.208,5.1,75.5,1.2219117,14.251131,5.1,3
164,1992,2,2,CHH,Alonzo Mourning,Georgetown,15.0,838.0,25975.0,14311.0,7137.0,946.0,0.527,0.247,0.692,31.0,17.1,8.5,1.1,89.7,0.166,2.2,27.4,1.0539281,12.167336,2.2,3
165,1992,3,3,MIN,Christian Laettner,Duke,13.0,868.0,25760.0,11121.0,5806.0,2224.0,0.48,0.261,0.82,29.7,12.8,6.7,2.6,64.9,0.121,1.0,19.5,0.4473405,12.403629,1.0,3
168,1992,6,6,WSB,Tom Gugliotta,NC State,13.0,763.0,23556.0,9895.0,5589.0,2140.0,0.451,0.284,0.757,30.9,13.0,7.3,2.8,40.2,0.082,0.6,15.3,0.25889257,12.102608,0.6,3
169,1992,7,7,SAC,Walt Williams,Maryland,11.0,708.0,18818.0,8385.0,2794.0,1637.0,0.425,0.379,0.743,26.6,11.8,3.9,2.3,33.9,0.087,0.5,11.8,-1.8647206,11.065672,0.5,3
173,1992,11,11,HOU,Robert Horry,Alabama,16.0,1107.0,27069.0,7715.0,5269.0,2343.0,0.425,0.341,0.726,24.5,7.0,4.8,2.1,66.3,0.118,1.9,26.4,-0.2505423,12.934486,1.9,3
179,1992,17,17,SEA,Doug Christie,Pepperdine,15.0,827.0,26079.0,9301.0,3382.0,2992.0,0.426,0.354,0.821,31.5,11.2,4.1,3.6,55.7,0.102,1.1,20.7,-1.5241301,13.0293,1.1,3
183,1992,21,21,BOS,Jon Barry,Georgia Tech,14.0,821.0,13880.0,4715.0,1513.0,1784.0,0.434,0.392,0.848,16.9,5.7,1.8,2.2,37.2,0.129,1.8,13.4,-3.3250139,11.0525465,1.8,3
184,1992,22,22,PHO,Oliver Miller,Arkansas,9.0,493.0,11338.0,3625.0,2893.0,1061.0,0.534,0.116,0.639,23.0,7.4,5.9,2.2,21.1,0.089,0.6,7.4,-0.2603121,7.5116425,0.6,3
